Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
450	39513	47	4129	47.0	75.0	4129.0	6585.5	448	29584	47	3102	47.0	74.66666666666667	3102.0	4930.666666666667	telnet
448	29584	47	3102	47.0	74.66666666666667	3102.0	4930.666666666667	403	35384	149	13110	149.0	80.6	13110.0	7076.8	telnet
450	39513	47	4129	47.0	75.0	4129.0	6585.5	448	29584	47	3102	47.0	74.66666666666667	3102.0	4930.666666666667	telnet
448	29584	47	3102	47.0	74.66666666666667	3102.0	4930.666666666667	450	39513	47	4129	47.0	75.0	4129.0	6585.5	telnet
524	46043	74	6530	74.0	74.85714285714286	6530.0	6577.571428571428	448	29584	47	3102	47.0	74.66666666666667	3102.0	4930.666666666667	telnet
448	29584	47	3102	47.0	74.66666666666667	3102.0	4930.666666666667	450	39513	47	4129	47.0	75.0	4129.0	6585.5	telnet
524	46043	74	6530	74.0	74.85714285714286	6530.0	6577.571428571428	448	29584	47	3102	47.0	74.66666666666667	3102.0	4930.666666666667	telnet
448	29584	47	3102	47.0	74.66666666666667	3102.0	4930.666666666667	450	39513	47	4129	47.0	75.0	4129.0	6585.5	telnet
39	3314	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	telnet
524	46043	74	6530	74.0	74.85714285714286	6530.0	6577.571428571428	448	29584	47	3102	47.0	74.66666666666667	3102.0	4930.666666666667	telnet
448	29584	47	3102	47.0	74.66666666666667	3102.0	4930.666666666667	450	39513	47	4129	47.0	75.0	4129.0	6585.5	telnet
39	3314	0	0	0.0	0.0	0.0	0.0	37	2458	37	2458	0.0	0.0	0.0	0.0	telnet
524	46043	74	6530	74.0	74.85714285714286	6530.0	6577.571428571428	522	34468	74	4884	74.0	74.57142857142857	4884.0	4924.0	telnet
448	29584	47	3102	47.0	74.66666666666667	3102.0	4930.666666666667	450	39513	47	4129	47.0	75.0	4129.0	6585.5	telnet
39	3314	0	0	0.0	0.0	0.0	0.0	37	2458	37	2458	0.0	0.0	0.0	0.0	telnet
524	46043	74	6530	74.0	74.85714285714286	6530.0	6577.571428571428	522	34468	74	4884	74.0	74.57142857142857	4884.0	4924.0	telnet
