Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
505	65975	0	0	0.0	252.5	0.0	32987.5	328	22301	0	0	0.0	164.0	0.0	11150.5	voice
334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	voice
574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	334	22713	5	346	5.0	167.0	346.0	11356.5	voice
505	65975	0	0	0.0	252.5	0.0	32987.5	328	22301	0	0	0.0	164.0	0.0	11150.5	voice
334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	voice
574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	334	22713	5	346	5.0	167.0	346.0	11356.5	voice
505	65975	0	0	0.0	168.33333333333334	0.0	21991.666666666668	328	22301	0	0	0.0	164.0	0.0	11150.5	voice
334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	voice
574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	334	22713	5	346	5.0	167.0	346.0	11356.5	voice
505	65975	0	0	0.0	168.33333333333334	0.0	21991.666666666668	328	22301	0	0	0.0	109.33333333333333	0.0	7433.666666666667	voice
334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	voice
574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	voice
505	65975	0	0	0.0	168.33333333333334	0.0	21991.666666666668	328	22301	0	0	0.0	109.33333333333333	0.0	7433.666666666667	voice
334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	voice
622	85679	48	7584	48.0	155.5	7584.0	21419.75	334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	voice
505	65975	0	0	0.0	168.33333333333334	0.0	21991.666666666668	328	22301	0	0	0.0	109.33333333333333	0.0	7433.666666666667	voice
334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	voice
622	85679	48	7584	48.0	155.5	7584.0	21419.75	334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	voice
505	65975	0	0	0.0	126.25	0.0	16493.75	328	22301	0	0	0.0	109.33333333333333	0.0	7433.666666666667	voice
334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	voice
