Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
6	651	0	0	0.0	3.0	0.0	325.5	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	994	1	343	1.0	2.3333333333333335	343.0	331.3333333333333	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	866	0	0	0.0	2.3333333333333335	0.0	288.6666666666667	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	994	1	343	1.0	2.3333333333333335	343.0	331.3333333333333	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	994	1	343	1.0	2.3333333333333335	343.0	331.3333333333333	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	866	0	0	0.0	2.3333333333333335	0.0	288.6666666666667	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	994	1	343	1.0	2.3333333333333335	343.0	331.3333333333333	4	272	0	0	0.0	1.0	0.0	68.0	dns
7	994	1	343	1.0	2.3333333333333335	343.0	331.3333333333333	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	866	0	0	0.0	2.3333333333333335	0.0	288.6666666666667	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.0	0.0	68.0	dns
7	994	1	343	1.0	2.3333333333333335	343.0	331.3333333333333	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	866	0	0	0.0	2.3333333333333335	0.0	288.6666666666667	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.0	0.0	68.0	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	866	0	0	0.0	2.3333333333333335	0.0	288.6666666666667	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.0	0.0	68.0	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
8	1053	1	187	1.0	2.0	187.0	263.25	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.0	0.0	68.0	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.3333333333333333	0.0	90.66666666666667	dns
8	1053	1	187	1.0	2.0	187.0	263.25	4	272	0	0	0.0	1.0	0.0	68.0	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.0	0.0	68.0	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.0	0.0	68.0	dns
8	1053	1	187	1.0	2.0	187.0	263.25	4	272	0	0	0.0	1.0	0.0	68.0	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.0	0.0	68.0	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	1.0	0.0	68.0	dns
8	1053	1	187	1.0	2.0	187.0	263.25	4	272	0	0	0.0	1.0	0.0	68.0	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.0	0.0	68.0	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	1.0	0.0	68.0	dns
8	1053	0	0	0.0	1.6	0.0	210.6	4	272	0	0	0.0	1.0	0.0	68.0	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.0	0.0	68.0	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	1.0	0.0	68.0	dns
8	1053	0	0	0.0	1.6	0.0	210.6	4	272	0	0	0.0	0.8	0.0	54.4	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	1.0	0.0	68.0	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	0.8	0.0	54.4	dns
8	1053	0	0	0.0	1.6	0.0	210.6	4	272	0	0	0.0	0.8	0.0	54.4	dns
7	994	0	0	0.0	1.75	0.0	248.5	4	272	0	0	0.0	0.8	0.0	54.4	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	0.8	0.0	54.4	dns
8	1053	0	0	0.0	1.6	0.0	210.6	4	272	0	0	0.0	0.8	0.0	54.4	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	0.8	0.0	54.4	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	0.8	0.0	54.4	dns
8	1053	0	0	0.0	1.6	0.0	210.6	4	272	0	0	0.0	0.8	0.0	54.4	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	0.8	0.0	54.4	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.8	0.0	54.4	dns
8	1053	0	0	0.0	1.6	0.0	210.6	4	272	0	0	0.0	0.8	0.0	54.4	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	0.8	0.0	54.4	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.8	0.0	54.4	dns
9	1200	1	147	1.0	1.5	147.0	200.0	4	272	0	0	0.0	0.8	0.0	54.4	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	0.8	0.0	54.4	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.8	0.0	54.4	dns
9	1200	1	147	1.0	1.5	147.0	200.0	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	0.8	0.0	54.4	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1200	1	147	1.0	1.5	147.0	200.0	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
8	1294	1	300	1.0	1.6	300.0	258.8	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1200	1	147	1.0	1.5	147.0	200.0	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1200	1	147	1.0	1.5	147.0	200.0	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1200	1	147	1.0	1.5	147.0	200.0	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
10	1399	1	199	1.0	1.4285714285714286	199.0	199.85714285714286	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
10	1399	1	199	1.0	1.4285714285714286	199.0	199.85714285714286	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.6666666666666666	0.0	45.333333333333336	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
10	1399	1	199	1.0	1.4285714285714286	199.0	199.85714285714286	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
9	1443	1	149	1.0	1.5	149.0	240.5	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
10	1399	1	199	1.0	1.4285714285714286	199.0	199.85714285714286	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
10	1399	1	199	1.0	1.4285714285714286	199.0	199.85714285714286	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
10	1666	1	223	1.0	1.25	223.0	208.25	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
10	1399	1	199	1.0	1.4285714285714286	199.0	199.85714285714286	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
10	1666	1	223	1.0	1.25	223.0	208.25	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
10	1399	0	0	0.0	1.25	0.0	174.875	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
10	1666	1	223	1.0	1.25	223.0	208.25	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
10	1399	0	0	0.0	1.25	0.0	174.875	4	272	0	0	0.0	0.5	0.0	34.0	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.5714285714285714	0.0	38.857142857142854	dns
10	1666	1	223	1.0	1.25	223.0	208.25	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1399	0	0	0.0	1.25	0.0	174.875	4	272	0	0	0.0	0.5	0.0	34.0	dns
9	1443	0	0	0.0	1.2857142857142858	0.0	206.14285714285714	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1666	1	223	1.0	1.25	223.0	208.25	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1399	0	0	0.0	1.25	0.0	174.875	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1666	1	223	1.0	1.25	223.0	208.25	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1666	1	223	1.0	1.25	223.0	208.25	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1399	0	0	0.0	1.25	0.0	174.875	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1666	1	223	1.0	1.25	223.0	208.25	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
